Item_ID	Before	After
15215:21	###i mean, the, the recording mentioned the peace corps.###.###well, it sounded like, i mean, this is like major long term commitment, like a year or six months,###.###yeah.###.### or, so you're looking at the peace corps or sabbatical maybe,###or, you know, i don't know,###i mean, but, uh,###.	###like i do some volunteer work here and there,###and every once in a while i'll do, uh, a, uh, local big brother big sister thing.###.
15271:19	###i think that maybe that's why some people do it --n402b3c is, uh, to see the other cultures or, you know and some of that.###.###uh-huh.###.###but, uh, to do that,###i don't know,###i'd have --n402da0 to be,###i don't know.###.###oh, i don't know either.	### and, and none of this, you go --n40315b spend two years in the peace corps --n40317e to ex-, to broaden your horizons.###.###uh-huh. well, you know, uh, i know american express,
15419:16	###.###uh-huh.###.###and so she basically didn't use credit cards and didn't know very much about them and how they work --n4068eb, and, and how you can use them to your advantage --n40692e, and, and how, you know, you, you can do certain things with them --n406989.###.###huh.###.###.###yeah,### i always, i use everything with my visa,	###.###yeah.###.
15457:32	###.###oh, how funny.###.###yeah.###mumblex so we talked about the cowboys a little bit.###and, i'm out here in phoenix,###so we talked about phoe-, cardinals.###.###uh-huh.###.	###and then what else did i have --n40793c.###i think i had some other, uh, like staying in shape or working out.### this other guy, i got this guy from new york,
15466:26	###.### and, so, so that one was all right.###and then what else did i have --n40793c.###i think i had some other, uh, like staying in shape or working out.### this other guy, i got this guy from new york,###so.###.###i had --n407b6c to talk to someone about hobbies,###and the switchboard called me,###so i was caught --n407c4d a little off guard,	###so i started --n407d44 making stuff up.###i told this woman that my hobby was gardening,###and i can't even i can't even grow an ivy.
15511:13	###it's not,###the length isn't too long.###.###no.###.###uh-huh.###.###oh goodness no.###.###uh mumblex.	###.### you don't even, you don't even realize it, you know.###.
15600:84	###but other than that i've heard the, the, you know, the, um, the scenery in it is absolutely beautiful.###.###yeah.###.###.###and, uh, the costuming yeah, was,###.###uh-huh,###really.###.	###.###oh really.###.
15684:35	###so yeah, um,###that was so that he couldn't leave her,###cause she,###.###it still just seems a little twisted to me.###.###yeah,###yeah###i mean, yeah,###.	###.###well, as far as that goes,###yeah,
15962:91	###you're kidding.###.###no.### and so, and, and my boss has, has gone for about like three times, i think --n402ff4.###and i told him he's obviously in a high risk group.###.###the executives, right.###.###right,###right,	###.###.###the executives.
15999:6	###oh, what kind of drugs did you use --n4039e5, if you don't mind.###.###uh, marijuana, cocaine and amphetamines.###.###wow.###.###um, yes,###uh-huh.###.###.	###.###really.###.
16022:32	###life is so much more enjoyable.###.###.###uh-huh.###and i was losing jobs just from --n403e7c doing a poor job, you know.###.###yeah.###yeah,### that's, that's it.###.	###.###yeah.###just life in general.
16062:27	###.###yeah,###i mean, and they have, they have some serious chemicals out there you know,###.###yeah.###.###like they have emergency shower where you just run in there and strip off and dump water, you know, that kind of thing --n4048d4.###.###yeah.###.	###.###oh, my gosh.###.
16108:56	###yeah.###.###and they, at that time, they had no testing whatsoever.###.###huh.###.###so that's scary.###.###yeah.###that reminds me of, uh,	###and i have just casually asked her what he did --n4057bd for a living.###and she said, oh, he's the supervisor of this chemical land fill, you know where they go and dump all this toxic stuff --n4058c7.###.
16110:72	###and they, at that time, they had no testing whatsoever.###.###huh.###.###so that's scary.###.###yeah.###that reminds me of, uh,###i have a friend who --n40568d was telling me about her brother who --n4056b0 gets high all the time,###and i have just casually asked her what he did --n4057bd for a living.	###.###oh, lord.###.
16193:27	###.###um, yeah,###that's what it said to discuss --n40016a some###maybe a recipe,###well, it says, why would you, what you would have --n400252 for a dinner party.###um, this is strange because i pressed one and i thought it said begin.###.###oh.###.###okay,	###okay,###we'll talk for five minutes,###they interrupt at the end.
16382:10	###.###um, it filled,###a lot of people try --n403eb3 to stay away from this###but i make my own homemade pudding just because i don't like box pudding.###.###is that right.###i've never heard of that.###.###yeah,### it, and it mumblex if you, um, well,	###and i put it in a two quart saucepan###and you put it on a really low heat.###.
16480:8	###it comes in like a real dark can,###.###yeah.###.###our mothers used --n4062e5 to use it.###and then,###.### ri-, i have some.###.###yeah,	###.###i just want --n406471 to,###.
16630:8	###and willie nelson.###.###uh-huh.###so you like a, a variety.###.###yeah.###.###sort of easy listening because you like country###but then,###.	###i don't like that, when they start --n400582,###.###um.
16641:60	###i don't like that, when they start --n400582,###.###um.###.###i don't know.###i just like willie nelson i guess --n400671 because he's such a character.###.###oh, uh-huh.###yeah,### i, i like some of his songs, though.	###they're just kind of sweet sometimes.###.###yeah.
16683:10	###or you just like it.###.###very badly.###.###.###i've got a piano,###.###yeah.###.###my mother got a piano and, uh, vowed that someone in the family was going --n40119e to learn,	###and i was the one that --n401307 did the least poorly,###so she gave it to me.###.
16839:10	###.###did you like them.###.###yeah,###i like moody blues.### i, i like mostly the older groups i think --n4044bd.###oh, c-,###but we do have,###i like simply red,###we got simply red.	###and, uh, i like breeze,###i like the group.###i think just because they all sort of sound, they sound l-, a lot like r-, uh, simply red.
16868:31	###yeah.###.###you know, how many people --n404e74 are in simply red, stuart,###he can't hear me.### i, i don't remember how many people,###but, it's, it's got men and women###and it's not, it's, it's nice,###i mean it's pleasant, you know, music.###it's not where it's, it hurts your ears --n405250 to hear it --n405263.###but it's not as, it's not like, uh, chicago where it's got that much instrument to it --n405390.	###.###yeah.###.
16906:40	###.###yeah,###yeah.###.###oh, okay.###.###just because there's a friend up there,###not because there's much else.###.###oh, okay.	###that's why i was just w-,###.###for colleges.
17010:170	###.###hopefully.###.###but there's probably something else that --n407b70 might make you.###because you could know about, you could know about the crime, but not necessarily be taken --n407c6c off the jury, you know, not be accepted --n407c9b for j-, the jury.###.###yeah.###.###i mean, pretty much a lot of people would know about it, you know, and, and know some of the different things about it###but, uh, they, they might weed you out some other way.	###.###the death penalty. no.###.
17120:11	###.###uh, this present darkness and, uh, uh, i forget the t-, the other,###well he, uh, he's also written a lot of children,###how old is your daughter --n40173e.###.###five.###.###five,###okay,###he's written some children's books as well	###.###oh, really.###.
17327:19	###.###and i think i've seen his books in there.###.###uh-huh.###i've never read any of his.###.###but they're real,###i kind of got burnt --n403f92 out on steven king, though.###.###.	###did you ever read the, uh, uh, oh,###.###speakera98-1*t98-1.
17343:17	###speakerb98-2*t98-2.###yes.###speakeranan*t98-2.###speakerb99-1*t99-1.### that, oh, that long thing.###speakeranan*t99-1.###speakera99-2*t99-2.###i know it.###speakerbnan*t99-2.###speakera100-1*t100-1.	###speakerbnan*t100-1.###speakerb100-2*t100-2.###yeah,
17594:27	###speakera177-2*t177-2.###yeah,###speakerbnan*t177-2.###.###me, too.###.###i used --n40653f to love those old, good, good old books.###.###uh-huh.###.	###.###speakera182-1*t182-1.###nathaniel hawthorne is pretty scary himself.
17797:30	###.###uh-huh,###i just got the bicycle out today,###and it was real nice outside,### had --n4017f2 to get out --n401805 to do something.###.###yeah,###i can't ride a bike###so.###.	###so thought i, better, better --n4019e7 get outside and do something and not waist the day.###.###oh.
17805:18	###so.###.###i've been sitting in here in the house all weekend with a cold###so thought i, better, better --n4019e7 get outside and do something and not waist the day.###.###oh.###.###.###yeah,###it's too nice,	###.###but, uh, yeah,###i need --n401c04 to start jog something again.
17849:30	###yeah.###.###.###yeah.###i found that, true especially from walking on toe and fronts.###.###but,###.###.###yeah,	###my don't get very much use.###.###well, i guess my breakdown about, they say about every six months.
18116:9	###.###okay,###well, i sure enjoyed, to you about exercise and fitness.###.###nice talking to you too.###.###.###okay,###thanks.###.	###.###talk to you later.###.
18258:42	###oh.###.###but, uh,###and it makes, it makes for a, a different challenge,###i've never,###well, i, i moved to dallas about five years ago,###.###yeah.###.###and, uh, i never really, messed with anything, uh, gardening or anything like that until now,	###in fact, uh, we even, we were at the farmers market yesterday and bought a few tomato plants and things like that,###.###uh-huh.
18311:35	###but, uh, i don't know### i think it's, i think it only has about five or six more years to go --n403f84 because it's a, it's a really old bush,###.###yeah.###.### and but i, i, i'm amazed because the sun is so intense,###and the roses just seem --n4042a5 to survive just fine there.###.###yeah,### that's, we, that's what we're searching --n404370, uh,	###and we're, we're kind of experimenting right now.###.###uh-huh.
18317:55	###and the roses just seem --n4042a5 to survive just fine there.###.###yeah,### that's, we, that's what we're searching --n404370, uh,### we've got, we've got all the different lake editions around the house###and we're, we're kind of experimenting right now.###.###uh-huh.###.### we do, we've got the direct sun in front	###so the backyard is just complete dark all day long.###.###huh.
18318:23	###.###yeah,### that's, we, that's what we're searching --n404370, uh,### we've got, we've got all the different lake editions around the house###and we're, we're kind of experimenting right now.###.###uh-huh.###.### we do, we've got the direct sun in front###and the backyard has two great big, uh, spruce and, and an oak tree all about forty to fifty foot tall	###.###huh.###.
18335:74	### have you, have you, uh, done, um, done a lot of tree surgeon work on your trees or not.###.###no,### they're, they're in pretty good condition.###.###yeah.###.###uh, we've been, we've been pretty lucky on that.###.###yeah,	###.###uh-huh.###.
18446:49	###yeah.###.###the whole way.###.###yeah.###.###and they said, well, we just plan on --n406ed4 spending the rest of our lives just,, --n406eff getting this property developed --n406f16.###.###.###it's amazing,	###.###yeah.###.
18453:37	###.###.###it's amazing,###i mean, they have, have the, all they have --n40708a are me-, uh, mesquite and cottonwoods,###.###yeah.###.###.###yeah.###.	###.###okay.###.
18458:11	###yeah.###.###.###yeah.###.###and, uh, it's, it's all on lake greenbelt, that property out there.###.###okay.###.###and, uh, i don't know, that what they have --n407379,	###.###uh-huh.###.
18477:41	###.###but, uh, that's for like an additional,###they have --n40776a to pay like some kind of fee per year.###.###oh, okay.###.###but, uh, they're, uh, right now though i think --n407892 they're just, they're trying --n4078b9 to get the trees planted --n4078d4 and everything.###.###sure.###.	###but the taxes alone there, lake greenbelt###and some places, they, they, they really nail them for tax.###.
18531:13	###they're about the smartest tree around.### they don't, they don't even start --n408d7e growing until may, may or april, like after it's been raining for a few months.###.###yeah,###that's true.###.###.###that's true.###.###they say the roots have developed	###just a leafy,###they don't do anything.###.
18537:70	###.###that's true.###.###they say the roots have developed###so that's all they work on --n40901b.###just a leafy,###they don't do anything.###.###uh-huh.###yeah,	###.###uh-huh.###.
18609:19	###.###yep.###.###here at work i have the t i one thousand which --n400d59 is a three eighty-six base mach-, machine.###.###oh, yeah.###i bet that's a pretty nice setup.###.###yes,###it is.	###.###yep.###.
18634:27	###wow.###.###and then i have, uh, a three eighty-six f x a sixteen bit machine, at home.###.###uh-huh.###.###and i'm really pleased with it.###.###uh-huh.###.	###.###sure.###.
18666:113	###so, i can never quite stay current with that.###.###well, i think you will be real pleased --n401d99 to get away from the banana as i used --n401dc8 to call it --n401ddb.###it's, uh,###i used it on, uh, some other machines in days gone by and was real pleased --n401f7e to leave it.###it was a real memory hog when you started --n40207c making large blot changes to it --n40209b.###.###uh-huh.###.###the,	###.###oh.###.
18704:112	###oh, well, it sounds like you're pretty much into computers.###.###well, i sure need them.###uh, there's no way that i could begin --n402c17 to process and keep up with the kinds of information or the magnitude of information that i need --n402c66 --n402c6d to, to try --n402c84 to do my job --n402c9b without them.###.###i can believe that.###well, it's, it's been interesting.###.###yes,###uh, maybe you'll play around some and figure out how they can help you do different things --n402fcc.	###.###yeah,###of course, needs and wants aren't necessarily the same thing.
18735:25	###but i didn't know they had a four eighty-six just yet.###.###it does a few more things, uh, than had been available before.###.###uh-huh.###.###.###yeah.###.###but i'm not sure that it's such a massive improvement. uh, you know,	###.###sure.###.
18767:46	###uh, in the houston area.###.###uh-huh.###well, i used --n4000e2 to.###i lived there for a long time.###but i'm now in palo alto, california which --n4001cd is, i think --n4001e8, the recycling capital of the world.###.###oh, that's great.###.###so, we have many recycling activities	###.###oh, we are too.###our community is, uh, just starting --n4004e7 to get organized about it.
18779:38	###oh, we are too.###our community is, uh, just starting --n4004e7 to get organized about it.###they just opened up a recycling center where we go --n4005af and donate our, our things and dump them off ourselves.###.###uh-huh.###.###and, uh, it,###.###well, that's something###but it, it seems to me that we've gotten a whole lot better, um, cooperation out here, uh, by --n4007db setting it up so that we pay just a little bit extra, uh,	###but the, uh, garbage men, come by, uh, on your regular garbage day and pick up the recycling out at the curb.###.###uh-huh.
18812:30	###and the garbage men come by and, uh, collect them and leave us new bags when ours get old and ratty --n401275 or leave the ones if they're still in good shape.###.###oh, that's great.###.###and, the, it really pays for itself because, oh, then the city, gets the money from the recycling.###.###uh-huh.###.###.###yeah,	###our, um,###we've got several bins in our, on, in our garage where we, uh, you know, sort things out --n4016c3 and, and take it to, to the appropriate places.###.
18854:16	###i wish they would do that here.###we have got so little landfill space left that we're going --n4024ed to run out before the end of this decade.###.###yes.###.###and it's really going --n402628 to be a mess when they have --n40264b to start --n40265a hunting for places to put the things --n402685 --n40268c.###.###oh, i know it.###.###we did have, uh, another novel, uh, experiment start this year.	###.###oh.###.
18868:16	### you can, you buy these super giant heavy-duty paper bags,###they're about four-feet high.###.###uh-huh.###.###and you get them for i think it's --n402a97 about fifty cents apiece at the grocery store###you, um, usually buy them by the dozen.###.###uh-huh.###.	###.###oh, uh-huh.###.
18877:36	###.###and then you put all your lar-, yard clippings and, uh, leaf rakings and anything that --n402c5b will be compostible.###.###oh, uh-huh.###.### and those and they, the garbage men also pick those up on thursdays.###.###oh, that's great.###.###and then the, uh, they take them to a special part of our dump where composting is now in full swing --n402f36,	###.###right,###well, that's a great idea.
18952:42	###and they say, y-, as long as it's clean###they don't want a plastic bag that --n404a2d's full of goop.###.###yes.###.###here they don't want your rotted tomatoes.###.###.###but they want any clean and dry plastic bag###so i keep,	###so right outside the back door, i've got the two burlap bags hung up for the cans and bottles --n404daf,###.###uh-huh.
18974:26	###.###oh, yeah.###.###and he'll go --n405285 pick them up because he just can't stand that.### he, he,###.###well, how nice,###that's great.###.###and, uh, it's so, you know,	###.###uh-huh.###.
18988:13	###i remember at christmas the, the only thing that i'm,###when you were talking about the composting --n4056b1, the only thing that our city did --n4056d8 that was they di-, uh, provided a place for us to take our christmas trees. uh, to for them to mulch --n405763. for, for city use --n405782.###.###uh-huh.###.###.###yeah.###.###.###well, that's,	###.###uh-huh.###.
19009:23	###and, uh, otherwise you would have --n405ccd to treat it like you would any other lawn refuse.###it would have --n405dbb to be cut --n405dce into four-foot lengths.###.###.###so, you know, if we have branches or something, they have --n405e8f to be cut --n405ea2 in four-foot lengths,###.###uh-huh.###.###but otherwise, uh, they have --n405fb2 to be in one of their paper bags.###.	###.###and they even picked up our, uh, styrofoam pl-, packing materials.### they brought, uh, the week after christmas they left a plastic bag --n406274 on everybody's front doorknob with a little note on it saying, we're trying something new next week only,
19020:24	###.###and they even picked up our, uh, styrofoam pl-, packing materials.### they brought, uh, the week after christmas they left a plastic bag --n406274 on everybody's front doorknob with a little note on it saying, we're trying something new next week only,###if you have any, uh, of those little, uh, styrofoam peanuts that, any of your christmas presents were packed --n40648c in --n406497, put them in this bag and leave it out with your recycling###.###uh-huh.###.###.###uh-huh.###.	###.###right.###well, see that's one,
19041:17	###.###well, those things must take up a huge amount of space in landfills.###.###oh, yeah,###i mean, they don't, uh, uh,###.###they don't mash.###.###no.###.	###and they stay forever.###.###right.
19059:61	###and i think that would be great if they could get something organized along those lines.###.###yeah,###i do too.###the difficulty with that is that very few people have enough to make it worthwhile.### it, they really have --n407135 to rely on businesses that --n407150 generate a lot of that stuff.###.###right.###.###uh, because otherwise, uh, you know, they're not going --n4072a3 to go house-to-house --n4072b6 collecting it,	###.###uh-huh.###.
19269:7	###yeah.###.###whereas, you know, if the soviet union would have, who --n403d93 knows what taking over mongolia or, or something like that, who --n403dde is really, will we have been more just rhetoric, uh, rather than --n403e29 going in there officially or, you know, physically and try --n403e60 to, to remove them.###.###.###uh-huh.###.###.###yeah.###well, the, the china situation, you know, the when, it looked like that thing was, was turning around --n40419b	###.###and that's enough.###.
19310:30	###.###well, the, uh, the social structure of the soviet union, you know, it, it's, it's coming apart at the seams.###.###speakera68-1*t68-1.###uh-huh.###speakerbnan*t68-1.###speakerb68-2*t68-2.###you know, and i've heard people say, well, you know, it's just like the american civil war,###will there be a union or not.###well, no,	###there was no,###speakeranan*t68-2.###.
19341:54	###a lot of my friends have a taken us down, the stance of, you know, these people are just trying --n4056a5 to be free and trying --n4056c0 to get away###and i'm thinking more of it from a nationalistic, you know,###speakerbnan*t73-2.###.###if i'm a soviet and if part of, you know, south, let's say --n40592b south dakota wanted --n40593e to succ-, you know, succeed, am i going --n405971 to stand for that.###.###speakerb75-1*t75-1.###yeah.###speakeranan*t75-1.###speakera75-2*t75-2.	###speakerbnan*t75-2.###.###i'm not that familiar with their future,
19379:56	###.###and then the russians even, took it back from the germans and never bothered --n406699 to give it back, you know,###.###yep.###.###so. that's a, a little different situation.###.###.###well, that whole a,###.	###.###uh-huh.###and that was the whole idea why they had so many buffers --n406b4c
19389:65	###the whole i-, idea if you look at the russian history and i guess all countries the way it used --n4068cd to be --n4068dc is, the only way to truly protect your borders --n406917 was to have a buffer.###.###uh-huh.###and that was the whole idea why they had so many buffers --n406b4c###and maybe, you know, more and more people are seeing, oh, countries hopefully are seeing that that buffer isn't going --n406c32 to help you,###you can,###.###well, i guess like, with, uh, israel is a perfect example.###.###yeah.	### and, and lebanon was just as a buffer###.###speakera98-1*t98-1.
19409:114	###speakerb99-1*t99-1.###they don't really pay a whole lot of attention to buffers.###speakeranan*t99-1.###speakera99-2*t99-2.###yeah,###speakerbnan*t99-2.###speakera100-1*t100-1.### there's, there's very little that, that --n4072d9 binds you anymore in today's technology.###speakerbnan*t100-1.###speakerb100-2*t100-2.	###speakeranan*t100-2.###.###and they're going --n407690 to land in other places,
19467:92	###right.###.###.###exactly.###.###i get confused between all the, which --n40856f is the soviet provinces versus which --n40858e are the, the russian provinces, versus what --n4085b9 are,###.###.###uh-huh.###well, in the center	###.###was there nineteen of them or, or whatever,###.
19472:22	###i get confused between all the, which --n40856f is the soviet provinces versus which --n40858e are the, the russian provinces, versus what --n4085b9 are,###.###.###uh-huh.###well, in the center###but you got a, the, the great big area that --n4087a5's just, was traditionally known --n4087d0 as russia and then all these little nationality groups, around it, you know, that --n40881b were, you know,###.###was there nineteen of them or, or whatever,###.###uh-huh.	###.###they had some real fancy names for them.###.
19529:20	###wh-, uh, w-, what do you get shot --n4096ef by --n4096fa###.###speakerb139-1*t139-1.###something that --n40978a's called --n409799 a, an economic force or what --n4097bc is called --n4097cb a military pact,###speakeranan*t139-1.###speakera139-2*t139-2.###yeah,###speakerbnan*t139-2.###.###exactly.	###you can change the name of something###.###but i wonder if it's still, exists.
19540:23	###you can change the name of something###.###but i wonder if it's still, exists.###.###uh-huh.###although, i've seen some evidence that, you know, the, uh, the russian soldiers are,###well, you,###the funny thing there is they're not particularly welcome back home because there's, they're having housing shortages now.###.###speakerb143-1*t143-1.	###speakeranan*t143-1.###speakera143-2*t143-2.###exactly
19546:20	###well, you,###the funny thing there is they're not particularly welcome back home because there's, they're having housing shortages now.###.###speakerb143-1*t143-1.###what do you do --n409d0c with all these troops that --n409d27 have been taken care of --n409d42 by, uh, bulgaria and, and czechoslovakia###speakeranan*t143-1.###speakera143-2*t143-2.###exactly###speakerbnan*t143-2.###speakera144-1*t144-1.	###speakerbnan*t144-1.###speakerb144-2*t144-2.###and now all of a sudden they're going home
19549:10	###speakerb143-1*t143-1.###what do you do --n409d0c with all these troops that --n409d27 have been taken care of --n409d42 by, uh, bulgaria and, and czechoslovakia###speakeranan*t143-1.###speakera143-2*t143-2.###exactly###speakerbnan*t143-2.###speakera144-1*t144-1.### and, and all the,###speakerbnan*t144-1.###speakerb144-2*t144-2.	###speakeranan*t144-2.###speakerb145-1*t145-1.###and somebody's got --n409f72 to pay for their,
19559:33	###and now all of a sudden they're going home###speakeranan*t144-2.###speakerb145-1*t145-1.###and somebody's got --n409f72 to pay for their,###speakeranan*t145-1.###speakera145-2*t145-2.###well, that's what they're saying --n40a011###the whole problem, you know, with, if we were --n40a0a8 to demilitarize europe,###speakerbnan*t145-2.###speakera146-1*t146-1.	###speakerbnan*t146-1.###speakerb146-2*t146-2.###yeah.
19648:38	###.###uh-huh.###.###and, uh, the last, uh, i'm embarrassed --n40122a to say the last, you know, honest to gosh, cover to cover book that i read --n401285, i can not, right offhand, i tried --n4012b4 to read, uh, one of the, the michener, uh, lone star or the, the texas history book.###.###i have never been able --n4015b7 to make it through any of michener's work.###.###oh, well, i've had similar problems.###it does tend --n401704 to, to,###.	###.###yeah, as a matter of fact,###yeah.
19680:19	###yeah,###i think it was battle cry of freedom.###.###battle cry of freedom.###.###it's kind of like a historical compendium, of the civil war,###.###yeah.###.###and it's not a story of the civil war,	###.###uh-huh.###.
19697:50	###there was a lot more to it than that, weren't there.###.###there was a lot more to it than that.###as a matter of fact that was a very minor part that --n4023e0 kind of become like an afterthought.###.###yeah,###well, it was a political move.###.###oh, yeah.###.	###all the other areas which --n40284e would, i think at that time would have included west virginia and, oh, may have been --n4028a5 kentucky, a few states, you know, that --n4028d4 were not part of the south but still had slaves.###.###uh-huh.
19726:20	###.###.###and i have two native texan children too.###.###yeah.###.###my husband is always, you know, talked about th-, texas being a, uh, rebel state.###.###uh-huh.###.	###i kept --n402ffa waiting for,###where's some reference to this goddamn state of texas and the role that they played --n403093 either leading up to --n4030aa or in --n4030b9 the civil war --n4030cc.###.
19852:33	### i, i used --n405447 to read a lot more than i do now.###.###well, i've gone to the point where my husband, my husband travels, i get out like, you know, two or three books --n40559a.###.###uh-huh.###.###and i, i'm trying --n4056f4 to think of, oh, isaac asimov, robot series.###.###yeah.###.	###and i understand that there's a fifth.###.###uh-huh.
19910:29	###i've got, uh,###.###is that a big, thick book.###.###yeah,### and i've got, yeah, and i've got a history of kingsley, iowa.###.### what the, what the hell for --n406b6d.###why kingsley, iowa.###.	###.###oh, okay.###.
19940:15	###i don't know if i'd call it science fiction or fantasy.###.###sometimes it's awful hard,###some of those get very philosophical###they can be in any setting,###they just happen --n407364 to put them in a futuristic setting, you know,###the,###.###well, i loved that novel.###and then somebody said, oh, god, this would have been even long ago because i was in boston	###and i had a hole in my roof###and i was waiting for the whole house to collapse,###and, uh, i was reading dune. which --n407707 seeming rather ironic.
19985:106	###patrick stewart was in that.###i guess the guy that --n407f55's on the new star trek series was in that thing, uh.###.###i don't know,###i just remember sting was in it.###.###oh, really..###.###yeah,###and if you were trying --n408176 to follow any type of, uh, plot, it, it total-,	###.###uh-huh.###.
20014:15	###yeah.###.###that's true.###have you read, the silence of the lambs.###.###no.###somebody who, --n4087a4 saw the movie here the other day told me it was the most terrifying thing they'd ever seen --n4087ff,###.###oh.###.	###.###well, see i, i am debating whether or not i want --n4089ac to go --n4089bb see the movie after --n4089d2 having read the book.###.
20074:4	###and he's suave###and he's all the charac-, all the, characteristics,###.###oh the worst kind,###yeah,###.###.###yeah.###.###yeah,	###.###.###well, how, how do you feel --n400032 about the immigration laws.
20134:27	###.###yeah.###well, uh, my, uh, my family is from, uh, europe from, well, from england and ireland and, uh, have been in this country for, oh, more than a hundred and fifty years almost two hundred years,###.###uh-huh.###.###.###oh, my.###.###so, i don't have any, any, uh, relatives that i am, or, or, uh, several generations back, that i am familiar with --n401c95 their names and how they fit into the family --n401cc0.	###.###uh-huh.###.
20214:68	###okay,### let's see.###i think, uh,###i guess, if i call i'm supposed --n4000e6 to start.###i think, uh, that's the way everybody has done it so far --n4001cd.###.###okay.###.###but, anyway i think that, um, we are paying a lot in taxes,###but i think that we have a government and we have a lot of freedoms, and we have a lot of things that the governments do --n4003e0 with our money.	###the, you know,###as far as the quality of the streets, the school systems, um, the hospital stuff that the government gives money to --n40074d. um, the, you know, all the things that the government does --n400790 like that. i, uh, i think they need --n4007c7 to manage it a little bit better,###but i don't think, uh, anybody is just going --n400a41 to come in and fix it in a couple of weeks, because they've been messing it up for many years, now.
20216:98	###i think, uh,###i guess, if i call i'm supposed --n4000e6 to start.###i think, uh, that's the way everybody has done it so far --n4001cd.###.###okay.###.###but, anyway i think that, um, we are paying a lot in taxes,###but i think that we have a government and we have a lot of freedoms, and we have a lot of things that the governments do --n4003e0 with our money.###um, we're probably one of the, the only countries in the world that --n40055d has all the things that we have --n400580.###the, you know,	###but i don't think, uh, anybody is just going --n400a41 to come in and fix it in a couple of weeks, because they've been messing it up for many years, now.###so,###.
20229:142	###.###i have --n400c1f to agree that.###.###yeah.###.###and you're right.### we, i mean, we, you know, we do have a good government.###we do have a lot of things that, you know, that, you know, the taxes are there to support --n400e6d,###but i do think they're mismanaged###and i think that sometimes it's too easy of a, i don't know, to easy of an answer.	###.###huh-uh.###.
20317:17	###i thought maybe you had come from somewhere else and had some experience with taxes there.###.###no.###no.###i've just lived here,###.###yeah.###.###but, i don't know,###i do,	### where, what did they say --n402bf3 to, uh,###i can't think of the scripture.### render unto caesar's what --n402d06 is caesar's.
20393:13	### i've, i spends a lot of time with our income tax, though. this, especially, this year and last year.###um, i have been married --n4041d1 for just a few years,###so i've had --n404263 to really switch around from the e z form to the, uh,###.###schedule a.###.###right.###.###well, yeah.###.	###.###did you notice that when they passed the new simplified tax act --n404427, it seemed like it made everything harder.###.
20424:33	###.###and that was one of the main pluses that we have --n40480e about --n404819 buying a house.###.###and it will help tremendously.###.###yeah.###.###we bought ours five years ago###and it's the one thing,###it seems like you make those payments every month	###.###right.###.
20611:26	###because that's,###i work with elma.###.###oh, really.###.###yeah.###.###yeah.###.###and i used --n4071b3 to work,	###.###oh, wow.###.
20616:22	###yeah.###.###yeah.###.###and i used --n4071b3 to work,### i, i did all of their capital and financial planning for about eight years.###.###oh, wow.###.###and then i have been in human resources for the last two years	###so, i feel kind of part of the staff.###.###yeah.
20743:39	###.###they'll help you, recycle, because we, there is some bins, like behind wal-mart, that --n10954 take some things.###.###.###well, now have they moved them behind wal-mart.###.###yeah.###.###oh, god.###.	###and there was nowhere else to take them --n10c35###and they had it in front of wal-mart###and i ask in wal-mart
20757:11	###and they said they moved it just behind.###.###oh.###that's really nice to know --n10e2e, because we were doing the same thing.###because --n10eff to take it to a metco, you have --n10f2a to take it when they're open --n10f4d, you know, which --n10f68 is always a real pain.###.###huh-uh.###.###and so when that thing came up in wal-mart parking lot --n110ff, we thought, oh, this is great.###and we started --n111ee taking them up there.	###i didn't know.###and we're going, oh, no, there goes our recycling place.###.
20785:62	###.###that's about what we do --n118a4 too.###.###and really, that's about, that's really about it.###is there anything, any place else that --n119f4 really takes anything other than that, that you know of --n11a27.###.###well, i guess, um, down in, kind of in north dallas, there is a place that --n11b83 will take almost anything.###.###oh, really.###.	###.###i know.###.
20882:22	###i don't.###i have a friend, of mine --n1371e told me about this program, is the reason that i'm,###.###no.###.###.###yeah.###there was a,###t i has got this organization called t a d which --n138d1 is t i'ers against drugs.###and, you know, we're recycling aluminum cans --n139cf up here and, uh, just what you would buy --n13a02 out of the machines and drink --n13a21 here	###and that's,###they use the money from that --n13c63 to fund this t i'ers against drugs program.###it's, you know,
20920:28	###well, it --n144f7 was nice to talk to you.###i know they've started over in richardson where my dad lives --n145ca.###they pick up newspapers, i think --n14694.###.###oh, do they really.###curbside pick up.###.###yeah.###.###i really hope they do that in louisville.	###.###mumblex.###.
20937:48	###.###bye-bye.###.###.###all right.###ladies, first.###.###oh, no.###well, i don't find a lot of time to watch t v --n4000db.###and a lot of time, i find it during the day when, when i'm rocking my little girl to sleep --n4001ea,	###.###mumblex.###.
20987:46	###.###of course, i have --n400c47 to watch cartoons --n400c5a on saturday morning, but not the ninja turtles.###i like the old-timey ones, tom and jerry.###.###.###yeah.###you sound like my husband.###.###there you go.###.	###.###right.###.
21109:12	###huh-uh.###.###.###huh-uh.###.###i was just a youngster###and i was like, oh, my gosh.###.###yeah,###we used --n402f1a to,	###and as the world turns. i think as the world turns may, still on or not.###.###still be on.
