Item_ID	Sentence	Pre	ParentString	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID
29439:14	they had them all, uh, on, i don't know what --n403c71 you'd call it --n403c88 other than --n403c97 on line.	them	them all	no	NP		NP	NP-IOBJ	sw2395_s95_503
29441:14	they had them all on hold	them	them all	no	NP		NP	NP-IOBJ	sw2395_s96_503
29644:15	so he's getting all the sports sections.	getting	getting all the sports sections	nullpartitive	VP		NP	NP-OBJ	sw2395_s199_504
29818:18	but she has three kids all under the age of like six.	kids	three kids all under the age of like six	no	NP			NP-OBJ	
29821:25	and, and they're all a handful.	're	're all a handful	no	VP				
29904:44	and so i end up lots of time --n4053d8 not doing anything at all.	at	at all	no	ADVP			NP-OBJ	
29980:39	and so, you know, those don't take much time at all.	at	at all	no	ADVP				
30032:21	it didn't take anything at all.	at	at all	no	ADVP			NP-OBJ	
30089:32	but we don't like --n401348 to do that at all.	at	at all	no	ADVP				
30226:56	and i, but as i said, most, most of all i try not --n4041b3 to use them, uh, to any, you know, lavishly, in that regard.	of	of all	no	PP		NP	NP-OTHER	sw2399_s100_517
30469:28	and he just, you know, wrote all the checks on the screen and hit print	wrote	wrote all the checks on the screen	nullpartitive	VP		NP	NP-OBJ	sw2405_s91_509
30480:74	you know, and he said, you know, i can balance my checkbook in seconds, you know because it's all in the computer, you know.	's	's all in the computer, you know	no	VP				
30486:52	and you know there's not going --n40309d to be those adding mistakes that we all make --n4030c8.	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2405_s103_517
30580:26	oh and you had --n40520e to type all of his papers.	type	type all of his papers	yes	VP		NP	NP-OBJ	sw2405_s166_508
30648:133	i've seen it get out of hand up here, you know where we've got a secretary that --n406806 sits over here that --n40681d's keeping metrics right now, and keeping up, you know, of all the letters i type --n406874, how many cha-, how many of them --n40689f do i make changes on --n4068ba. and on each letter, what types of changes --n4068e9.	of	of all the letters i type --n406874	nullpartitive	PP-TPC-N40689F		NP	NP-OTHER	sw2405_s207_549
30673:85	you know, she keeps, you know keeps several weeks' worth of data and then in addition is keeping copies of all the changes --n4075b2 to show, you know, look, this didn't really need --n4075f1 to be changed --n407604.	of	of all the changes	nullpartitive	PP		NP	NP-OTHER	sw2405_s222_530
30707:53	but you could link in and talk to other peo-, talk to people all over the country, you know.		talk to people all over the country	no	VP				
30736:93	but when you're doing the guilty father complex --n4096b8, you know, because he's not there --n4096e3 to watch us grow, you can kind of get all kinds of stuff.	get	get all kinds of stuff	no	VP		NP	NP-OBJ	sw2405_s269_529
30775:10	and got all kinds of academy awards and things last year.	got	got all kinds of academy awards and things last year	no	VP		NP	NP-OBJ	sw2406_s15_502
30791:40	and it, you know, they're flying all over with it.	flying	flying all over with it	no	VP				
30849:21	or, and all of them, i guess, could be in that fashion, or category.		or, and all of them, i guess, could be in that fashion, or category.	yes	S		NP-SBJ	NP-OTHER	sw2406_s64_505
30894:58	uh, i want --n402e92 to see, uh, that new one, uh, that --n402ec9 won all those academy awards this year, dances with wolves.	won	won all those academy awards this year	nullpartitive	VP		NP	NP-OBJ	sw2406_s93_517
30905:26	i, i absorbed all of that movie in one sitting.	absorbed	absorbed all of that movie in one sitting	yes	VP		NP	NP-OBJ	sw2406_s99_508
31001:14	that's about all the time i can, i can spare --n40495a.	about	's about all the time i can, i can spare --n40495a	nullpartitive	VP		NP-PRD	NP-OTHER	sw2406_s164_504
31003:53	i read about how they did, uh, an article on how they did all the special effects with the submarine --n404b2a.	did	did all the special effects with the submarine --n404b2a	nullpartitive	VP		NP	NP-OBJ	sw2406_s166_519
31005:28	it was, it was all done --n404d25 in studio with smoke and mirrors and all the hollywood magic.		was all done --n404d25 in studio with smoke and mirrors and all the hollywood magic	no	VP				
31005:56	it was, it was all done --n404d25 in studio with smoke and mirrors and all the hollywood magic.	and	smoke and mirrors and all the hollywood magic	nullpartitive	NP		NP	NP-OTHER	sw2406_s168_515
31041:13	and he uses all of his special effects knowledge in --n40580b doing what --n40581a needs --n405825 to be done --n405838.	uses	uses all of his special effects knowledge in --n40580b doing what --n40581a needs --n405825 to be done --n405838	yes	VP		NP	NP-OBJ	sw2406_s191_503
31051:29	and using makeup and using the all the props and whatever to get to where he needs --n405a5a to go --n405a69.	the	using the all the props and whatever	nullpartitive	VP		NP	NP-OTHER	sw2406_s197_509
31067:32	they're supposed --n405f29 to be coming out with all these desert storm movies, this summer, too.	with	with all these desert storm movies	nullpartitive	PP		NP	NP-OTHER	sw2406_s206_511
31151:11	first of all, i want --n400062 to tell you i have two little kids,	of	of all	no	PP		NP	NP-OTHER	sw2407_s3_504
31251:71	some of those certainly have a lot of dis-, difficulties, you know, with, uh, all sorts of things,	uh	with, uh, all sorts of things	no	PP		NP	NP-OTHER	sw2407_s61_523
31353:29	i re-, address them all as generals	them	them all	no	NP		NP	NP-OTHER	sw2407_s131_508
31365:42	and they put him through six months of composition writing in addition to all his electronic training.	to	to all his electronic training	nullpartitive	PP		NP	NP-OTHER	sw2407_s139_513
31567:55	but i know of a number of other people who --n404260 have, you know, gotten all messed --n404287 up.	gotten	gotten all messed --n404287 up	no	VP			NP-OTHER	
31697:9	well, all right,	well	well, all right,	no	INTJ				
31700:23	i guess if that's all we've done	's	's all	no	VP		NP-PRD		sw2421_s170_509
31761:21	it's not worth getting all mad and fighting and hollering at each other when it goes wrong --n400bda.	getting	getting all mad	no	VP				
31973:26	they, i make all kinds of things with it.	make	make all kinds of things with it	no	VP		NP	NP-OBJ	sw2423_s164_508
31974:11	we make all kinds of things just with dried flowers.	make	make all kinds of things just with dried flowers	no	VP		NP	NP-OBJ	sw2423_s165_503
32012:30	and h-, he makes, all kinds of furniture for, um, his kids,	makes	makes, all kinds of furniture for, um, his kids	no	VP		NP	NP-OTHER	sw2423_s191_508
32059:11	and it's all got --n406a9e to line up.	's	's all got --n406a9e to line up	no	VP				
32096:67	i guess they, they say you can plant them in the spring or the fall, all.	fall	plant them in the spring or the fall, all	no	VP				
32124:67	she's got like, just a small patch of lawn and just flowers and mulch ba-, tree bark all over her lawn.		tree bark all over her lawn	no	NP			NP-OTHER	
32188:43	it's, it's, uh, not dry at all.	at	at all	no	ADVP				
32206:19	well, i do it all.	it	it all	no	NP		NP	NP-IOBJ	sw2427_s2_504
32232:5	all the rest of my yard, backyard is, uh, you know, pool and decking			nullpartitive			NP-SBJ	NP-OTHER	sw2427_s21_501
32233:11	it's all the dirt --n400790 i have --n40079f, left in my backyard.	's	's all the dirt --n400790 i have --n40079f, left in my backyard	nullpartitive	VP		NP-PRD	NP-OTHER	sw2427_s22_503
32298:29	they, they just run all over, the place, don't they,	run	run all over, the place	no	VP				
32453:81	sometimes i wish i could get one of these, uh, chemical services to come, out and spray for weeds, and fertilize, and all that and take that one step out of mumblex.	and	come, out and spray for weeds, and fertilize, and all that and take that one step out of mumblex	nullpartitive	VP		NP-ETC		sw2427_s143_523
32488:7	and all of a sudden you've got --n40429f to do something else.	and	and all of a sudden you've got --n40429f to do something else.		S		NP-ADV	NP-OTHER	sw2427_s162_501
32706:18	i just turned it all up and mixed it all up together with,	it	it all	no	NP		NP	NP-IOBJ	sw2427_s281_505
32706:33	i just turned it all up and mixed it all up together with,	it	it all	no	NP		NP	NP-IOBJ	sw2427_s281_510
32735:59	i'd like --n407e23 to get one of these little small ones, that you see --n407e5a in all these gardening magazines.	in	in all these gardening magazines	nullpartitive	PP		NP	NP-OTHER	sw2427_s297_520
32995:10	and we all love pickles	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2427_s444_501
33205:65	we have a a friend another couple where the husband is the one who --n403623 cooks all the time --n40363a	cooks	cooks all the time	nullpartitive	VP		NP-TMP		sw2429_s94_524
33271:108	and and we threatened --n40471f to make the other two uh make us dinner one time uh just --n40475a to even it out since we seemed --n40477d to be unfairly doing all the cooking and they were doing all the enjoying	doing	doing all the cooking	nullpartitive	VP		NP	NP-OBJ	sw2429_s127_537
33271:127	and and we threatened --n40471f to make the other two uh make us dinner one time uh just --n40475a to even it out since we seemed --n40477d to be unfairly doing all the cooking and they were doing all the enjoying	doing	doing all the enjoying	nullpartitive	VP		NP	NP-OBJ	sw2429_s127_542
33374:28	they use corn starch instead of flour in all of their sauces and gravies	in	in all of their sauces and gravies	yes	PP		NP	NP-OTHER	sw2429_s184_508
33382:87	the meatballs you just um after you form them fry them in a pan until they're uh browned on all all sides	all	on all all sides	no	PP-LOC		NP	NP-OTHER	sw2429_s188_531
33386:17	and then drain off all the grease	off	drain off all the grease	nullpartitive	VP		NP	NP-OTHER	sw2429_s190_505
33450:35	right now i'm taking a class on ettiquesy and all the little bitty things that i didn't even know --n407d84	and	ettiquesy and all the little bitty things that i didn't even know --n407d84	nullpartitive	NP		NP	NP-OTHER	sw2429_s225_508
33496:44	that's what the nurses kept --n4002e3 saying --n4002ee as they laughed all the way, you know, down the hallway.	laughed	laughed all the way, you know, down the hallway	nullpartitive	VP		NP-ADV		sw2433_s8_517
33702:38	or can you not do stuff like that at all.	at	at all	no	ADVP				
33739:4	all that pounding all the time.			nullpartitive			NP	NP-OTHER	sw2433_s167_501
33739:11	all that pounding all the time.	pounding	all that pounding all the time.	nullpartitive	FRAG		NP-TMP		sw2433_s167_502
33797:31	it curbs the appetite and helps with the calories and all that stuff.	and	curbs the appetite and helps with the calories and all that stuff	nullpartitive	VP		NP-ETC		sw2433_s207_508
33809:13	and i need all the help i can get --n405e22.	need	need all the help i can get --n405e22	nullpartitive	VP		NP	NP-OBJ	sw2433_s213_503
33843:11	and they're all like twenty-one years of age.	're	're all like twenty-one years of age	no	VP				
33896:14	it's not at all anything worth talking about.	at	at all	no	ADVP				
33913:11	but it's all the same to me.	's	's all the same to me	nullpartitive	VP				
33918:46	and as we were doing it, too, everybody noticed that there were all these big guys of assorted nationalities.	were	were all these big guys of assorted nationalities	nullpartitive	VP		NP-PRD	NP-OBJ	sw2433_s284_514
34079:72	i, i, at times i think they ought --n4026ff to have a waiting period on all firearms.	on	on all firearms	no	PP		NP	NP-OTHER	sw2434_s56_525
34166:40	uh, but, you know, they used speed and accuracy and all that.	and	speed and accuracy and all that	nullpartitive	NP		NP	NP-OTHER	sw2434_s115_508
34254:45	if they go to, uh, --n406b37 regulating, uh, all right, uh, banning guns. pri-, pri-, pri-, private cit-, citizens	uh	--n406b37 regulating, uh, all right, uh, banning guns	no	S-NOM				
34290:10	that's all right.	's	's all right	no	VP				
34351:16	and it took us all of twelve hours.	us	took us all of twelve hours	yes	VP		NP	NP-IOBJ	sw2434_s231_504
34450:36	i mean, i, i like all ranges of movies,	like	like all ranges of movies	no	VP		NP	NP-OBJ	sw2435_s38_512
34499:16	she goes to almost all movies --n401de7 with us except, you know, r rated.	almost	almost all movies	no	NP		NP	NP-OTHER	sw2435_s71_504
34592:26	but at the beginning of the movie and all through the middle part, you know, he was trying to, trying --n403e83 to get it,	and	at the beginning of the movie and all through the middle part	no	PP-TMP				
34695:54	so i'm looking forward to --n405b1a seeing that because that looks hilarious, as they all do.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2435_s194_517
34717:10	and then all of a sudden i'm saying i wish i'd bought these things.	then	and then all of a sudden i'm saying i wish i'd bought these things.		S		NP-ADV	NP-OTHER	sw2435_s205_502
34796:9	none at all.	at	at all	no	ADVP				
34800:69	normally i'm one of these people that --n4076e8 i don't like one, one movie taking all the honors.	taking	taking all the honors	nullpartitive	VP		NP	NP-OBJ	sw2435_s254_524
34819:43	she was the only indian --n407c4f to have her hair done at all times.	at	at all times	no	PP-TMP		NP	NP-OTHER	sw2435_s267_515
34823:21	it was just too perfect at all times.	at	at all times	no	PP-TMP		NP	NP-OTHER	sw2435_s269_506
34992:8	did you all ever watch that.	you	you all	no	NP-SBJ		NP-SBJ		sw2436_s29_501
35062:10	and then all of a sudden, i started --n40269b paying, paying attention to network t v again, once in a while.	then	and then all of a sudden, i started --n40269b paying, paying attention to network t v again, once in a while.		S		NP-ADV	NP-OTHER	sw2436_s71_502
35158:55	and if they saw us watching the, something, they'd say, all right, what did you see --n404a26 on what --n404a35's new,	say	say, all right, what did you see --n404a26 on what --n404a35's new	no	VP				
35288:23	do you watch saturday night live at all.	at	at all	no	ADVP				
35565:76	and, uh, if i consider --n403c77 going the used car route and save up some money, i shouldn't have too much trouble at all.	at	at all	no	ADVP				
35595:57	and i, surprisingly enough after four years, i'm not tired of the car at all	at	at all	no	ADVP				
35648:5	all you hav-,			no			NP-SBJ	NP-OTHER	sw2439_s160_501
35777:13	and you laughed all the way to the bank.	laughed	laughed all the way to the bank	nullpartitive	VP		NP-ADV	NP-OBJ	sw2439_s237_503
35845:74	i've, i've always felt for a long time that i, i think that all young kids ought --n4002c2 to do a stint, uh, primarily in the military.	that	that all young kids ought --n4002c2 to do a stint, uh, primarily in the military	no	SBAR		NP-SBJ-N4002C2		sw2441_s5_525
35954:88	i mean, i've always felt that people on welfare should be required --n401daa to spend at least part of their time, not all the time because that takes away from their opportunity to look for a job, but at least some of their time to look for, --n401e59 to go out and clean up the roads. you know,	not	not all the time because that takes away from their opportunity to look for a job, but at least some of their time	nullpartitive	NP		NP	NP-OTHER	sw2441_s69_523
35962:18	all these, all this money that we're throwing --n40220e away --n402219 to pay people to go out and do things when we're paying all these welfare recipients --n402264,	these	all these, all this money that we're throwing --n40220e away --n402219 to pay people to go out and do things when we're paying all these welfare recipients --n402264,	nullpartitive	NP		NP	NP-OTHER	sw2441_s73_500
35962:94	all these, all this money that we're throwing --n40220e away --n402219 to pay people to go out and do things when we're paying all these welfare recipients --n402264,	paying	paying all these welfare recipients --n402264	nullpartitive	VP		NP	NP-OBJ	sw2441_s73_533
35963:45	and if they're able-bodied people, i don't see any problem --n4023e4 at all with having them go out there and, and,	at	at all	no	ADVP				
35995:28	and he, he had all kinds of horror stories.	had	had all kinds of horror stories	no	VP		NP	NP-OBJ	sw2441_s94_508
36001:11	they get all this stuff together and sit down and have poker games you know,	get	get all this stuff together	nullpartitive	VP		NP	NP-OBJ	sw2441_s98_504
36007:145	what i hear --n403069 one time, i think it was on paul harvey's, uh, radio segment, that he said that if the money that --n4030d8 goes into welfare each year was --n4030f7 to be given --n40310a directly to the people without all the middle people in the government bureaucracy, each person would receive like forty-five thousand dollars --n403169.	without	without all the middle people in the government bureaucracy	nullpartitive	PP		NP	NP-OTHER	sw2441_s101_548
36138:89	and you see, you know, fourteen year old kids flaunting money, because the parents give them money to go down and play video games all night --n405a4e, you know	games	play video games all night	no	VP		NP-TMP		sw2441_s184_530
36269:24	and, and they all lost their jobs.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2441_s269_505
36513:42	maybe it, maybe it speeded up the process and all that.	and	speeded up the process and all that	nullpartitive	VP		NP-ETC		sw2442_s114_513
36551:33	it's kind of fun because with the first pregnancy all the other ladies except one were on their first pregnancy,	pregnancy	with the first pregnancy all the other ladies except one were on their first pregnancy	nullpartitive	S		NP-SBJ	NP-OTHER	sw2442_s141_509
36639:12	but it was all right,	was	was all right	no	VP				
36711:16	you get the tent all dirty.	tent	the tent all dirty	no	S				
36715:16	plus you get it all wet,	it	it all wet	no	S				
36766:43	and you can go out, outside in the daytime, all right,	daytime	go out, outside in the daytime, all right	no	VP				
36775:13	and then they all come out.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2445_s142_502
36794:15	i can't see all this little, uh, smoke buckets i call them,	see	see all this little, uh, smoke buckets i call them	nullpartitive	VP		NP	NP-OBJ	sw2445_s157_504
36973:15	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world,	are	are all realizing that the communist system does not work to their satisfaction or their way of surviving in this world	no	VP				
37017:16	well, that's all they got --n40270b right now.	's	's all they got --n40270b right now	no	VP		NP-PRD	NP-OTHER	sw2451_s42_504
37057:131	i think it's, i think it's a lot of, uh, oh, how do you put it --n403cf4., bureaucracy and, and, uh, one thing, and then all the corruption.	then	bureaucracy and, and, uh, one thing, and then all the corruption	nullpartitive	NP		NP	NP-OTHER	sw2451_s67_531
37088:49	and uh, i think that was a big stepping stone for them to initiate all their righteous ways of changing things, too.	initiate	initiate all their righteous ways of changing things, too	nullpartitive	VP		NP	NP-OBJ	sw2451_s87_514
37167:86	and uh, i guess the most significant probably is that so many are working now, and trying --n40059a to juggle job and home and family and all sorts of other possibilities, you know,	and	job and home and family and all sorts of other possibilities	no	NP		NP	NP-OTHER	sw2455_s10_523
37171:51	they may be going to school, or may have elderly parents, or you know all sorts of other things.	know	may be going to school, or may have elderly parents, or you know all sorts of other things	no	VP		NP-ETC	NP-OBJ	sw2455_s12_515
37180:71	i, i, i think it --n400ab1's extremely difficult to keep up with all that we have --n400ae8 to --n400af7 these days.	with	with all that we have --n400ae8 to --n400af7	nullpartitive	PP		NP	NP-OTHER	sw2455_s17_526
37224:46	but in some ways i think we are expected --n40173a to do it all.	it	it all	no	NP		NP	NP-IOBJ	sw2455_s43_514
37225:51	you're almost looked down upon --n401809 if you don't try --n401824 to do all of these things	do	do all of these things	yes	VP		NP	NP-OBJ	sw2455_s44_517
37295:91	uh, still, uh, there's, there's sort of a feeling of accomplishment with having, you know, a job and all that --n4030d4 goes with that.	and	a job and all that --n4030d4 goes with that	nullpartitive	NP		NP	NP-OTHER	sw2455_s84_526
37325:52	or are we going --n403b07 to keep --n403b16 having --n403b21 to try --n403b30 to juggle all of this.	juggle	juggle all of this	yes	VP		NP	NP-OBJ	sw2455_s104_518
37353:90	uh, and even those who --n40485a may not do it seem --n404875 to be spending more time with their kids and really trying harder at --n4048b0 making all of the, the family things work.	making	making all of the, the family things work	yes	VP		NP-SBJ	NP-OBJ	sw2455_s122_530
37505:7	and all of a sudden he becomes a hero.	and	and all of a sudden he becomes a hero.		S		NP-ADV	NP-OTHER	sw2460_s72_501
37510:21	and, and all he has --n40376b to do --n40377a is hit the ball,		and, and all he has --n40376b to do --n40377a is hit the ball,	no	S		NP-SBJ	NP-OTHER	sw2460_s75_505
37512:7	and all he has --n4038ec to do --n4038fb is one, you know, hit it once.	and	and all he has --n4038ec to do --n4038fb is one, you know, hit it once.	no	S		NP-SBJ	NP-OTHER	sw2460_s77_501
37524:13	and that's all the game is --n4041c6.	's	's all the game is --n4041c6	no	VP		NP-PRD	NP-OTHER	sw2460_s87_503
37579:20	i think that's all that they have --n405ea9.	's	's all that they have --n405ea9	nullpartitive	VP		NP-PRD	NP-OTHER	sw2460_s125_507
37610:67	in other words, if, if in spring cra-, training they were looking at all their kids, like a lot of them do, um, then it really doesn't give you any indication.	at	at all their kids	nullpartitive	PP		NP	NP-OTHER	sw2460_s148_520
37612:111	so, you know, it's, it's not a great indication because there have been teams that --n406e18 have just, you know, come out and just won all kinds of games in spring crani-, training and then gone on a, you know, fourteen game losing streak in the first of the season	won	won all kinds of games in spring crani-, training	no	VP		NP	NP-OBJ	sw2460_s150_537
37772:3	all the problems.			nullpartitive			NP		sw2461_s17_500
37942:27	but, uh, you know, with all the peer pressure that --n40563d's going on, with all the negative things, it is, uh, it's a tough environment to be growing up in --n4056b0.	with	with all the peer pressure that --n40563d's going on	nullpartitive	PP		NP	NP-OTHER	sw2461_s130_507
37942:58	but, uh, you know, with all the peer pressure that --n40563d's going on, with all the negative things, it is, uh, it's a tough environment to be growing up in --n4056b0.	with	with all the negative things	nullpartitive	PP		NP	NP-OTHER	sw2461_s130_517
37967:11	that's all you can do --n406328.	's	's all you can do --n406328	no	VP		NP-PRD	NP-OTHER	sw2461_s146_503
38013:11	that's all you can do --n4077cb.	's	's all you can do --n4077cb	no	VP		NP-PRD	NP-OTHER	sw2461_s174_503
38101:57	but sometimes mumblex my husband, my husband says usually, i work on the computer all day at work,	computer	work on the computer all day at work	no	VP		NP-TMP		sw2465_s47_516
38326:10	um, all i,	um	um, all i,	no	S		NP-SBJ	NP-OTHER	sw2465_s195_502
38356:40	do you get, do you work at home all the time or just,	home	work at home all the time or just	nullpartitive	VP		NP-TMP,UNF	NP-OTHER	sw2465_s214_512
38390:86	you know, it's not something that --n406684's continual because, you know, the television ratings don't come out, you know, all the time.	know	come out, you know, all the time	nullpartitive	VP		NP-TMP		sw2465_s235_529
38397:62	i tell you if i could bring a computer home and do stuff here, i'd get all kinds of stuff done --n40692a.	get	get all kinds of stuff done --n40692a	no	VP		NP-SBJ-N40692A	NP-OBJ	sw2465_s241_521
38421:42	you know, i've just got --n406fea to deal, with all those other things that --n407015 happen	with	with all those other things that --n407015 happen	nullpartitive	PP		NP	NP-OTHER	sw2465_s255_514
38537:16	oh, i read all kinds of things for, um, helping people survive a divorce.	read	read all kinds of things for, um, helping people survive a divorce	no	VP		NP	NP-OBJ	sw2466_s25_504
38562:71	well, um probably the best one that i, i know of --n4010b0 and i work with --n4010c7 all the time is called --n4010e2 search for significance by robert mcgee		work with --n4010c7 all the time	nullpartitive	VP		NP-TMP		sw2466_s39_524
38748:90	at, at rossa they tend --n40550a to come out with a new book every couple of weeks just --n405541 to help us deal with all the things that we have --n405574 to deal with --n405587.	with	with all the things that we have --n405574 to deal with --n405587	nullpartitive	PP		NP	NP-OTHER	sw2466_s163_530
38753:50	and, i don't know when i'm going --n40585b to get to them all --n405876.	them	them all	no	NP		NP	NP-OTHER	sw2466_s166_515
38955:13	you must pay all attention to what you're doing --n4025ef.	pay	pay all attention to what you're doing --n4025ef	no	VP		NP	NP-OBJ	sw2469_s77_504
38958:35	i though, oh, this won't take long at all.	at	at all	no	ADVP				
39208:26	cats can deal with --n4078eb being inside all the time just fine.	inside	being inside all the time	nullpartitive	VP		NP-TMP		sw2469_s248_509
39646:48	it doesn't sound like it, it would be hard at all.	at	at all	no	ADVP				
39661:30	and, it's got beaut-, all these beautiful pictures, in there that --n405cde are inspiring.	beaut-	got beaut-, all these beautiful pictures, in there that --n405cde are inspiring	nullpartitive	VP		NP	NP-OTHER	sw2472_s229_508
39913:36	i watched every, uh, i watched all three games of that.	watched	watched all three games of that	no	VP			NP-OBJ	
39917:27	and, uh, i was very pleased with all three games, because kansas, uh, you know,	with	with all three games	no	PP		NP	NP-OTHER	sw2477_s57_506
39969:12	they shut all that down and made them play half court it seemed --n4029a0	shut	shut all that down	nullpartitive	VP		NP	NP-OBJ	sw2477_s92_505
39981:45	and they, they've not had --n402ea5 to do that all year	that	do that all year	no	VP		NP-TMP		sw2477_s101_514
40085:69	so does --n404ca9 detroit, i mean, so does --n404ccc chicago. so do-, all three of them do, with larry bird back, uh,	do-	so does --n404ca9 detroit, i mean, so does --n404ccc chicago. so do-, all three of them do, with larry bird back, uh,	no	S		NP-SBJ	NP-OTHER	sw2477_s164_526
40089:55	you can never count the celtics out when larry bird's, starting --n404ed8 to click on all cylinders --n404ef3.	on	on all cylinders	no	PP		NP	NP-OTHER	sw2477_s166_518
40098:75	he's, yeah but he's been, yeah, but he's been kind of up and down all year.	down	been kind of up and down all year	no	VP		NP-TMP		sw2477_s170_523
40229:35	i haven't seen them on much t v that much at all,	at	at all	no	ADVP				
40230:7	but all i can do --n407630 is --n40763b hear about,	but	but all i can do --n407630 is --n40763b hear about,	no	S		NP-SBJ	NP-OTHER	sw2477_s248_501
40387:34	you got --n401298 to when you hear about all the horrible things that --n4012cb happen in day care centers --n4012e6,	about	about all the horrible things that --n4012cb happen in day care centers --n4012e6	nullpartitive	PP		NP	NP-OTHER	sw2479_s57_513
40514:24	and, uh, i worked full time all last year	time	worked full time all last year	no	VP				
40537:29	we tried, we had all different things,		had all different things	no	VP			NP-OTHER	
40546:11	but it was all, uh, really expensive.	was	was all, uh, really expensive	no	VP				
40620:6	and all these people are registered --n40544a with their association and, you know, go like	and	and all these people are registered --n40544a with their association and, you know, go like	nullpartitive	S		NP-SBJ-N40544A		sw2479_s200_501
40641:22	in fact, uh, she's all upset because galen is going --n405b36 to go to kindergarten next fall	's	's all upset because galen is going --n405b36 to go to kindergarten next fall	no	VP				
40663:29	but the thing is he was in school all day, in second grade,	school	was in school all day, in second grade	no	VP		NP-TMP		sw2479_s228_509
40676:36	and then there would be a whole ton of other kids, all in the same room, you know,	kids	a whole ton of other kids, all in the same room	no	NP-PRD				
40685:18	poor kid was in school all day.	school	was in school all day	no	VP		NP-TMP		sw2479_s241_505
40705:8	we all need that time, just some quiet time --n407079 to wind down from the day --n407098.	we	we all	no	NP-SBJ-N407079		NP-SBJ-N407079	NP-OTHER	sw2479_s252_501
40762:29	and, god he got up on this elephant all by himself	elephant	got up on this elephant all by himself	no	VP				
40891:7	and all of his teachers were, very good.	and	and all of his teachers were, very good.	yes	S		NP-SBJ	NP-OTHER	sw2479_s356_501
40929:14	but, i looked all over lewisville,	looked	looked all over lewisville	no	VP				
41085:10	and they all lived down there by it.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2485_s66_501
41104:30	so, but, they really were all there.	were	were all there	no	VP				
41147:13	they came from all over.	from	from all over	no	PP-DIR				
41158:53	they just came down and like say, okay, this aunt and uncle kip, uh, all their kids and their grand kids and everything,	uh	this aunt and uncle kip, uh, all their kids and their grand kids and everything	nullpartitive	NP-SBJ		NP-SBJ	NP-OTHER	sw2485_s103_510
41190:29	but, um, the problem is we are all really scattered, around.	are	are all really scattered, around	no	VP				
41194:36	so if we ever had a reunion, we'd kind of all have --n40378b to stay in a hotel.	of	'd kind of all have --n40378b to stay in a hotel	no	VP				
41204:27	like, say about the same distance for all of you all to come.	for	for all of you all to come	yes	SBAR		NP-SBJ	NP-OTHER	sw2485_s131_507
41204:37	like, say about the same distance for all of you all to come.	you	you all	no	NP		NP	NP-OTHER	sw2485_s131_510
41246:66	see, that would be great because then you could spend so much more time --n404555 together, than if you all were in your own hotels or something.	you	you all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2485_s154_519
41271:50	ask them what they have --n404c1a, you know, at area lakes and all. if they have something like that	and	area lakes and all	no	NP		NP	NP-OTHER	sw2485_s168_516
41298:19	and that is not bad at all.	at	at all	no	ADVP				
41311:13	and, they can all stay in those cabins.	can	can all stay in those cabins	no	VP				
41374:97	what they did --n4068b7 was, well, see what they did --n4068e2 was, okay, they, uh, they wrote to all the initial people, you know, the, the oldest ones.	to	to all the initial people, you know, the, the oldest ones	nullpartitive	PP		NP	NP-OTHER	sw2485_s223_533
41388:95	i think there was four or five different people, that --n406c71 would call, you know, some of them, if they didn't have their addresses and all on them,	and	their addresses and all	no	NP		NP	NP-OTHER	sw2485_s230_529
41402:125	and then, when they, when they talked to us --n407143 or when they sent us the letter --n407166, it, uh, you know, to get the information and all, it asked, you know, will you be willing --n4071d5 to bring	and	get the information and all	no	VP		NP-ETC		sw2485_s236_543
41406:30	and you had --n407411 to check off what all you would be willing --n40743c to bring --n40744b.	what	what all	no	WHNP-N40744B		NP	NP-OTHER	sw2485_s238_511
41558:14	they still tell all kinds of stories about their parents and their cousins and their best friends, cause they all grew up in new york city,	tell	tell all kinds of stories about their parents and their cousins and their best friends, cause they all grew up in new york city	no	VP		NP	NP-OBJ	sw2485_s325_504
41558:61	they still tell all kinds of stories about their parents and their cousins and their best friends, cause they all grew up in new york city,	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2485_s325_516
41744:101	and so, i think, uh, uh, of course, now i go the other extreme, i do not like --n403c1e to see, in the corporate areas, uh, all the women dressed --n403c5d like men, with the suits and, uh, white shirts and ties and what have --n403ca8 you so that they all look exactly the same.	uh	see, in the corporate areas, uh, all the women dressed --n403c5d like men, with the suits and, uh, white shirts and ties and what have --n403ca8 you so that they all look exactly the same	nullpartitive	VP		NP-SBJ-N403C5D		sw2486_s100_527
